"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RRY","RRY",2,2,40,NA,NA,NA,NA,NA,NA
"RYDRGG","RYDRGG",3,3,NA,NA,NA,NA,870,NA,NA
"RYDRGY","RYDRGY",2,3,NA,NA,NA,NA,410,NA,NA
"RYDRRB","RYDRRB",1,3,NA,NA,NA,NA,800,NA,NA
"RYDRRD","RYDRRD",1,1,NA,NA,NA,NA,1050,NA,NA
"RYDRRG","RYDRRG",2,1,NA,NA,NA,NA,940,NA,NA
"RYDRRR","RYDRRR",1,2,NA,NA,NA,NA,80,90,90
"RYDRYD","RYDRYD",2,1,NA,NA,NA,NA,640,NA,NA
"RYDRYP","RYDRYP",1,1,NA,NA,NA,NA,670,NA,680
"RYDRYY","RYDRYY",2,1,NA,NA,NA,NA,610,660,640
"RYDYGB","RYDYGB",3,2,NA,NA,NA,NA,NA,1290,1290
"RYDYPG","RYDYPG",2,3,NA,NA,NA,NA,NA,870,850
"RYDYYG","RYDYYG",3,2,NA,NA,NA,NA,NA,1300,1280
"RYDYYR","RYDYYR",2,2,NA,NA,NA,NA,NA,1290,1290
"RYRBBB","RYRBBB",1,1,NA,1000,NA,1010,NA,1010,NA
"RYRBBD","RYRBBD",2,1,NA,990,990,NA,990,NA,NA
"RYRBBG","RYRBBG",2,1,NA,950,NA,NA,NA,NA,NA
"RYRBBP","RYRBBP",2,1,NA,990,NA,990,990,990,NA
"RYRBBR","RYRBBR",2,1,NA,940,940,950,NA,NA,940
"RYRBBY","RYRBBY",2,1,NA,960,970,960,NA,NA,930
"RYRBDB","RYRBDB",2,1,NA,990,NA,NA,990,NA,1010
"RYRBDG","RYRBDG",2,1,NA,920,NA,NA,930,NA,NA
"RYRBDP","RYRBDP",2,1,NA,970,NA,NA,990,990,NA
"RYRBDR","RYRBDR",1,1,NA,920,NA,NA,NA,NA,NA
"RYRBDY","RYRBDY",1,1,NA,940,NA,940,940,NA,930
"RYRBGB","RYRBGB",2,2,NA,170,NA,NA,NA,NA,NA
"RYRBGD","RYRBGD",1,2,NA,20,40,NA,20,30,30
"RYRBGP","RYRBGP",1,2,NA,60,NA,NA,NA,NA,NA
"RYRBGR","RYRBGR",3,2,NA,180,100,160,150,NA,NA
"RYRBGY","RYRBGY",2,2,NA,20,NA,NA,NA,NA,NA
"RYRBPB","RYRBPB",1,1,NA,920,NA,NA,NA,NA,NA
"RYRBPD","RYRBPD",2,1,NA,1090,NA,1090,NA,1090,1090
"RYRBPG","RYRBPG",2,1,NA,1010,990,990,990,1010,NA
"RYRBPR","RYRBPR",1,1,NA,1000,930,NA,920,NA,NA
"RYRBRD","RYRBRD",1,2,NA,240,NA,240,NA,240,240
"RYRBRR","RYRBRR",1,2,NA,230,NA,NA,NA,NA,NA
"RYRBYD","RYRBYD",1,2,NA,60,NA,NA,NA,NA,NA
"RYRBYP","RYRBYP",2,1,NA,900,NA,NA,NA,NA,NA
"RYRBYR","RYRBYR",2,2,NA,80,NA,NA,90,80,70
"RYRBYY","RYRBYY",1,2,NA,40,NA,NA,NA,NA,NA
"RYRDDD","RYRDDD",3,3,NA,820,840,NA,NA,NA,NA
"RYRDGB","RYRDGB",2,3,NA,760,760,750,NA,NA,NA
"RYRDGD","RYRDGD",3,3,NA,730,NA,NA,NA,NA,NA
"RYRDGP","RYRDGP",1,3,NA,750,750,NA,750,740,770
"RYRDGY","RYRDGY",2,3,NA,730,NA,NA,NA,NA,NA
"RYRDPG","RYRDPG",1,3,NA,830,NA,NA,840,850,850
"RYRDPP","RYRDPP",1,3,NA,840,840,850,NA,NA,830
"RYRDPR","RYRDPR",1,3,NA,830,NA,NA,NA,830,800
"RYRDRB","RYRDRB",2,3,NA,390,NA,380,NA,NA,NA
"RYRDRD","RYRDRD",1,3,NA,350,360,350,NA,NA,360
"RYRDRP","RYRDRP",1,3,NA,350,NA,370,370,360,NA
"RYRDRR","RYRDRR",1,3,NA,400,NA,NA,NA,NA,NA
"RYRDRY","RYRDRY",2,3,NA,350,NA,350,360,350,360
"RYRDYD","RYRDYD",2,3,NA,780,NA,790,NA,NA,NA
"RYRDYG","RYRDYG",2,3,NA,770,NA,NA,NA,NA,NA
"RYRDYR","RYRDYR",1,3,NA,770,770,770,NA,NA,NA
"RYRPBB","RYRPBB",1,2,NA,230,NA,NA,200,NA,NA
"RYRPBD","RYRPBD",3,2,NA,210,NA,NA,NA,NA,NA
"RYRPBG","RYRPBG",1,2,NA,210,200,NA,NA,NA,NA
"RYRPBR","RYRPBR",1,2,NA,210,NA,NA,NA,NA,NA
"RYRPBY","RYRPBY",1,2,NA,210,210,220,210,210,NA
"RYRPBYY","RYRPBYY",1,2,NA,NA,230,NA,NA,230,230
"RYRPDD","RYRPDD",1,2,NA,180,140,NA,NA,NA,NA
"RYRPDP","RYRPDP",1,2,NA,180,180,NA,NA,NA,NA
"RYRPDR","RYRPDR",2,2,NA,160,NA,NA,NA,NA,NA
"RYRPDY","RYRPDY",2,2,NA,180,NA,NA,NA,NA,190
"RYRPGB","RYRPGB",1,2,NA,1270,1280,NA,1290,1340,NA
"RYRPGP","RYRPGP",1,2,NA,1270,NA,1270,NA,NA,NA
"RYRPGR","RYRPGR",1,3,NA,890,NA,890,NA,NA,NA
"RYRPGY","RYRPGY",1,2,NA,1250,NA,NA,1290,NA,NA
"RYRPPB","RYRPPB",2,2,NA,210,NA,NA,150,150,NA
"RYRPPD","RYRPPD",2,2,NA,200,NA,NA,NA,NA,NA
"RYRPPG","RYRPPG",1,2,NA,200,NA,NA,NA,NA,NA
"RYRPPP","RYRPPP",1,2,NA,210,210,NA,NA,NA,NA
"RYRPPR","RYRPPR",1,2,NA,200,NA,NA,NA,NA,NA
"RYRPRD","RYRPRD",1,3,NA,880,890,NA,NA,NA,NA
