no,id,No.,date,month,year,treatment,newsection,distance,cluster,fl,w,bh,bw,k,sex
124,0GPD,2041,2016/5/27,May,2016,late,L3,880,3rd,54,1.8,11,nd,11.43118427,nd
125,0GPG,2025,2016/5/27,May,2016,late,L3,790,2nd,73,4.2,15,nd,10.79644334,nd
126,0GPG,2404,2016/8/16,August,2016,late,L3,780,2nd,72,5,14,nd,13.39591907,nd
127,0GPP,4807,2017/10/11,October,2017,late,L3,800,1st,176,67.2,40,22.3,12.32625845,male
128,0GPP,4634,2017/7/31,July,2017,late,L3,890,1st,149,37.3,31,16.8,11.27586913,male
129,0GPP,2042,2016/5/27,May,2016,late,L3,880,1st,58,2.3,12,nd,11.78810119,male
130,0GPP,4074,2017/5/26,May,2017,late,L3,870,1st,145,34.6,30,nd,11.34937882,male
131,0GPR,4472,2017/7/30,July,2017,control,C2,920,2nd,124,24.8,27,13.6,13.00728408,nd
133,0GPR,2053,2016/5/28,May,2016,control,C2,920,2nd,75,5.9,16,nd,13.98518519,nd
134,0GPY,2039,2016/5/27,May,2016,late,L3,850,3rd,65,3.6,14,nd,13.10878471,nd
135,0GRB,2690,2016/8/18,August,2016,control,C1,570,3rd,71,4.2,13,nd,11.73476088,nd
136,0GRB,1938,2016/5/27,May,2016,control,C1,570,3rd,60,2.4,10,nd,11.11111111,nd
137,0GRD,1909,2016/5/25,May,2016,late,L2,470,2nd,66,3.7,15,nd,12.86974427,nd
138,0GRG,1907,2016/5/25,May,2016,late,L2,470,1st,78,4.3,14,nd,9.0611777,female
139,0GRG,4383,2017/7/29,July,2017,late,L2,510,1st,117,16.9,23,12,10.5518624,female
140,0GRG,4729,2017/10/10,October,2017,late,L2,510,1st,119,20.8,24,13,12.34304893,female
141,0GRG,4107,2017/5/27,May,2017,late,L2,500,1st,120,19,22,nd,10.99537037,female
142,0GRP,1916,2016/5/25,May,2016,late,L2,490,2nd,70,4.1,14,nd,11.95335277,nd
143,0GRP,2870,2016/10/10,October,2016,late,L2,490,2nd,98,11.6,17,nd,12.32479664,nd
144,0GRP,4378,2017/7/29,July,2017,late,L2,490,2nd,131,25,26,15.2,11.12054628,nd
145,0GRP,3322,2017/3/19,March,2017,late,L2,500,2nd,105,14.9,23,nd,12.87118022,nd
146,0GRR,1894,2016/5/25,May,2016,late,L2,440,NA,62,2.5,13,nd,10.48974523,nd
