"","id","CL","TR","1","2","3","4","5","6","7"
"151","RYDRYD",2,1,NA,NA,NA,NA,17313,NA,NA
"152","RYDRYP",1,1,NA,NA,NA,NA,17313,NA,17452
"153","RYDRYY",2,1,NA,NA,NA,NA,17313,17376,17452
"154","RYDYGB",3,2,NA,NA,NA,NA,NA,17377,17452
"155","RYDYPG",2,3,NA,NA,NA,NA,NA,17378,17450
"156","RYDYYG",3,2,NA,NA,NA,NA,NA,17377,17452
"157","RYDYYR",2,2,NA,NA,NA,NA,NA,17377,17452
"158","RYRBBB",1,1,NA,17031,NA,17245,NA,17377,NA
"159","RYRBBD",2,1,NA,17031,17086,NA,17312,NA,NA
"160","RYRBBG",2,1,NA,17031,NA,NA,NA,NA,NA
"161","RYRBBP",2,1,NA,17031,NA,17245,17312,17377,NA
"162","RYRBBR",2,1,NA,17031,17086,17245,NA,NA,17450
"163","RYRBBY",2,1,NA,17031,17086,17245,NA,NA,17450
"164","RYRBDB",2,1,NA,17031,NA,NA,17312,NA,17450
"165","RYRBDG",2,1,NA,17031,NA,NA,17312,NA,NA
"166","RYRBDP",2,1,NA,17031,NA,NA,17312,17377,NA
"167","RYRBDR",1,1,NA,17031,NA,NA,NA,NA,NA
"168","RYRBDY",1,1,NA,17031,NA,17245,17312,NA,17450
"169","RYRBGB",2,2,NA,17030,NA,NA,NA,NA,NA
"170","RYRBGD",1,2,NA,17030,17085,NA,17311,17374,17451
"171","RYRBGP",1,2,NA,17030,NA,NA,NA,NA,NA
"172","RYRBGR",3,2,NA,17030,17085,17243,17310,NA,NA
"173","RYRBGY",2,2,NA,17030,NA,NA,NA,NA,NA
"174","RYRBPB",1,1,NA,17031,NA,NA,NA,NA,NA
"175","RYRBPD",2,1,NA,17031,NA,17245,NA,17377,17450
"176","RYRBPG",2,1,NA,17031,17086,17245,17312,17377,NA
"177","RYRBPR",1,1,NA,17031,17086,NA,17312,NA,NA
"178","RYRBRD",1,2,NA,17030,NA,17243,NA,17375,17451
"179","RYRBRR",1,2,NA,17030,NA,NA,NA,NA,NA
"180","RYRBYD",1,2,NA,17030,NA,NA,NA,NA,NA
"181","RYRBYP",2,1,NA,17031,NA,NA,NA,NA,NA
"182","RYRBYR",2,2,NA,17030,NA,NA,17311,17374,17451
"183","RYRBYY",1,2,NA,17030,NA,NA,NA,NA,NA
"184","RYRDDD",3,3,NA,17029,17085,NA,NA,NA,NA
"185","RYRDGB",2,3,NA,17029,17085,17254,NA,NA,NA
"186","RYRDGD",3,3,NA,17029,NA,NA,NA,NA,NA
"187","RYRDGP",1,3,NA,17029,17085,NA,17312,17378,17450
"188","RYRDGY",2,3,NA,17029,NA,NA,NA,NA,NA
"189","RYRDPG",1,3,NA,17029,NA,NA,17312,17378,17450
"190","RYRDPP",1,3,NA,17029,17085,17254,NA,NA,17450
"191","RYRDPR",1,3,NA,17029,NA,NA,NA,17378,17450
"192","RYRDRB",2,3,NA,17029,NA,17244,NA,NA,NA
"193","RYRDRD",1,3,NA,17029,17084,17244,NA,NA,17449
"194","RYRDRP",1,3,NA,17029,NA,17244,17310,17375,NA
"195","RYRDRR",1,3,NA,17029,NA,NA,NA,NA,NA
"196","RYRDRY",2,3,NA,17029,NA,17244,17310,17375,17449
"197","RYRDYD",2,3,NA,17029,NA,17254,NA,NA,NA
"198","RYRDYG",2,3,NA,17029,NA,NA,NA,NA,NA
"199","RYRDYR",1,3,NA,17029,17085,17254,NA,NA,NA
"200","RYRPBB",1,2,NA,17030,NA,NA,17310,NA,NA
"201","RYRPBD",3,2,NA,17030,NA,NA,NA,NA,NA
"202","RYRPBG",1,2,NA,17030,17087,NA,NA,NA,NA
"203","RYRPBR",1,2,NA,17030,NA,NA,NA,NA,NA
"204","RYRPBY",1,2,NA,17030,17087,17243,17310,17375,NA
"205","RYRPBYY",1,2,NA,NA,17087,NA,NA,17375,17451
"206","RYRPDD",1,2,NA,17030,17085,NA,NA,NA,NA
"207","RYRPDP",1,2,NA,17030,17087,NA,NA,NA,NA
"208","RYRPDR",2,2,NA,17030,NA,NA,NA,NA,NA
"209","RYRPDY",2,2,NA,17030,NA,NA,NA,NA,17451
"210","RYRPGB",1,2,NA,17030,17084,NA,17311,17377,NA
"211","RYRPGP",1,2,NA,17030,NA,17245,NA,NA,NA
"212","RYRPGR",1,3,NA,17029,NA,17254,NA,NA,NA
"213","RYRPGY",1,2,NA,17030,NA,NA,17311,NA,NA
"214","RYRPPB",2,2,NA,17030,NA,NA,17310,17375,NA
"215","RYRPPD",2,2,NA,17030,NA,NA,NA,NA,NA
"216","RYRPPG",1,2,NA,17030,NA,NA,NA,NA,NA
"217","RYRPPP",1,2,NA,17030,17087,NA,NA,NA,NA
"218","RYRPPR",1,2,NA,17030,NA,NA,NA,NA,NA
"219","RYRPRD",1,3,NA,17029,17085,NA,NA,NA,NA
"220","RYRPRG",2,3,NA,17029,17085,17254,17312,17378,NA
"221","RYRPRP",1,3,NA,17029,17085,NA,17312,17378,17449
"222","RYRPRR",1,3,NA,17029,17085,NA,17312,17378,NA
"223","RYRPYB",1,2,NA,17030,NA,17245,NA,NA,NA
"224","RYRPYD",1,2,NA,17030,NA,17245,17311,NA,NA
"225","RYRPYR",2,2,NA,17030,NA,17245,17311,17377,NA
