"","id","CL","TR","1","2","3","4","5","6","7"
"164","RYRBDB",2,1,NA,1,0,0,1,0,1
"165","RYRBDG",2,1,NA,1,0,0,1,0,0
"166","RYRBDP",2,1,NA,1,0,0,1,1,0
"167","RYRBDR",1,1,NA,1,0,0,0,0,0
"168","RYRBDY",1,1,NA,1,0,1,1,0,1
"169","RYRBGB",2,2,NA,1,0,0,0,0,0
"170","RYRBGD",1,2,NA,1,1,0,1,1,1
"171","RYRBGP",1,2,NA,1,0,0,0,0,0
"172","RYRBGR",3,2,NA,1,1,1,1,0,0
"173","RYRBGY",2,2,NA,1,0,0,0,0,0
"174","RYRBPB",1,1,NA,1,0,0,0,0,0
"175","RYRBPD",2,1,NA,1,0,1,0,1,1
"176","RYRBPG",2,1,NA,1,1,1,1,1,0
"177","RYRBPR",1,1,NA,1,1,0,1,0,0
"178","RYRBRD",1,2,NA,1,0,1,0,1,1
"179","RYRBRR",1,2,NA,1,0,0,0,0,0
"180","RYRBYD",1,2,NA,1,0,0,0,0,0
"181","RYRBYP",2,1,NA,1,0,0,0,0,0
"182","RYRBYR",2,2,NA,1,0,0,1,1,1
"183","RYRBYY",1,2,NA,1,0,0,0,0,0
"184","RYRDDD",3,3,NA,1,1,0,0,0,0
"185","RYRDGB",2,3,NA,1,1,1,0,0,0
"186","RYRDGD",3,3,NA,1,0,0,0,0,0
"187","RYRDGP",1,3,NA,1,1,0,1,1,1
"188","RYRDGY",2,3,NA,1,0,0,0,0,0
"189","RYRDPG",1,3,NA,1,0,0,1,1,1
"190","RYRDPP",1,3,NA,1,1,1,0,0,1
"191","RYRDPR",1,3,NA,1,0,0,0,1,1
"192","RYRDRB",2,3,NA,1,0,1,0,0,0
"193","RYRDRD",1,3,NA,1,1,1,0,0,1
"194","RYRDRP",1,3,NA,1,0,1,1,1,0
"195","RYRDRR",1,3,NA,1,0,0,0,0,0
"196","RYRDRY",2,3,NA,1,0,1,1,1,1
"197","RYRDYD",2,3,NA,1,0,1,0,0,0
"198","RYRDYG",2,3,NA,1,0,0,0,0,0
"199","RYRDYR",1,3,NA,1,1,1,0,0,0
"200","RYRPBB",1,2,NA,1,0,0,1,0,0
"201","RYRPBD",3,2,NA,1,0,0,0,0,0
"202","RYRPBG",1,2,NA,1,1,0,0,0,0
"203","RYRPBR",1,2,NA,1,0,0,0,0,0
"204","RYRPBY",1,2,NA,1,1,1,1,1,0
"205","RYRPBYY",1,2,NA,NA,1,0,0,1,1
"206","RYRPDD",1,2,NA,1,1,0,0,0,0
"207","RYRPDP",1,2,NA,1,1,0,0,0,0
"208","RYRPDR",2,2,NA,1,0,0,0,0,0
"209","RYRPDY",2,2,NA,1,0,0,0,0,1
"210","RYRPGB",1,2,NA,1,1,0,1,1,0
"211","RYRPGP",1,2,NA,1,0,1,0,0,0
"212","RYRPGR",1,3,NA,1,0,1,0,0,0
"213","RYRPGY",1,2,NA,1,0,0,1,0,0
"214","RYRPPB",2,2,NA,1,0,0,1,1,0
"215","RYRPPD",2,2,NA,1,0,0,0,0,0
