"","id","CL","TR","1","2","3","4","5","6","7"
"175","RYRBPD",2,1,NA,1090,NA,1090,NA,1090,1090
"176","RYRBPG",2,1,NA,1010,990,990,990,1010,NA
"177","RYRBPR",1,1,NA,1000,930,NA,920,NA,NA
"178","RYRBRD",1,2,NA,240,NA,240,NA,240,240
"179","RYRBRR",1,2,NA,230,NA,NA,NA,NA,NA
"180","RYRBYD",1,2,NA,60,NA,NA,NA,NA,NA
"181","RYRBYP",2,1,NA,900,NA,NA,NA,NA,NA
"182","RYRBYR",2,2,NA,80,NA,NA,90,80,70
"183","RYRBYY",1,2,NA,40,NA,NA,NA,NA,NA
"184","RYRDDD",3,3,NA,820,840,NA,NA,NA,NA
"185","RYRDGB",2,3,NA,760,760,750,NA,NA,NA
"186","RYRDGD",3,3,NA,730,NA,NA,NA,NA,NA
"187","RYRDGP",1,3,NA,750,750,NA,750,740,770
"188","RYRDGY",2,3,NA,730,NA,NA,NA,NA,NA
"189","RYRDPG",1,3,NA,830,NA,NA,840,850,850
"190","RYRDPP",1,3,NA,840,840,850,NA,NA,830
"191","RYRDPR",1,3,NA,830,NA,NA,NA,830,800
"192","RYRDRB",2,3,NA,390,NA,380,NA,NA,NA
"193","RYRDRD",1,3,NA,350,360,350,NA,NA,360
"194","RYRDRP",1,3,NA,350,NA,370,370,360,NA
"195","RYRDRR",1,3,NA,400,NA,NA,NA,NA,NA
"196","RYRDRY",2,3,NA,350,NA,350,360,350,360
"197","RYRDYD",2,3,NA,780,NA,790,NA,NA,NA
"198","RYRDYG",2,3,NA,770,NA,NA,NA,NA,NA
"199","RYRDYR",1,3,NA,770,770,770,NA,NA,NA
"200","RYRPBB",1,2,NA,230,NA,NA,200,NA,NA
"201","RYRPBD",3,2,NA,210,NA,NA,NA,NA,NA
"202","RYRPBG",1,2,NA,210,200,NA,NA,NA,NA
"203","RYRPBR",1,2,NA,210,NA,NA,NA,NA,NA
"204","RYRPBY",1,2,NA,210,210,220,210,210,NA
"205","RYRPBYY",1,2,NA,NA,230,NA,NA,230,230
"206","RYRPDD",1,2,NA,180,140,NA,NA,NA,NA
"207","RYRPDP",1,2,NA,180,180,NA,NA,NA,NA
"208","RYRPDR",2,2,NA,160,NA,NA,NA,NA,NA
"209","RYRPDY",2,2,NA,180,NA,NA,NA,NA,190
"210","RYRPGB",1,2,NA,1270,1280,NA,1290,1340,NA
"211","RYRPGP",1,2,NA,1270,NA,1270,NA,NA,NA
"212","RYRPGR",1,3,NA,890,NA,890,NA,NA,NA
"213","RYRPGY",1,2,NA,1250,NA,NA,1290,NA,NA
"214","RYRPPB",2,2,NA,210,NA,NA,150,150,NA
"215","RYRPPD",2,2,NA,200,NA,NA,NA,NA,NA
"216","RYRPPG",1,2,NA,200,NA,NA,NA,NA,NA
"217","RYRPPP",1,2,NA,210,210,NA,NA,NA,NA
"218","RYRPPR",1,2,NA,200,NA,NA,NA,NA,NA
"219","RYRPRD",1,3,NA,880,890,NA,NA,NA,NA
"220","RYRPRG",2,3,NA,860,830,830,840,840,NA
"221","RYRPRP",1,3,NA,890,890,NA,880,890,520
"222","RYRPRR",1,3,NA,860,870,NA,850,870,NA
"223","RYRPYB",1,2,NA,1340,NA,1340,NA,NA,NA
"224","RYRPYD",1,2,NA,1290,NA,1270,1290,NA,NA
"225","RYRPYR",2,2,NA,1270,NA,1270,1290,1350,NA
"226","RYRYBD",3,3,NA,380,370,NA,NA,NA,NA
"227","RYRYBG",2,3,NA,370,NA,NA,360,370,350
"228","RYRYBR",3,3,NA,360,NA,NA,NA,400,NA
"229","RYRYBY",1,3,NA,370,NA,NA,NA,NA,NA
"230","RYRYDD",2,3,NA,320,320,NA,320,NA,320
"231","RYRYDR",2,3,NA,500,NA,NA,NA,NA,NA
"232","RYRYDY",2,3,NA,470,NA,NA,NA,NA,NA
"233","RYRYGD",1,3,730,NA,NA,NA,420,460,NA
"234","RYRYGR",2,1,670,NA,NA,NA,690,NA,690
"235","RYRYPG",2,3,NA,340,NA,NA,320,NA,NA
"236","RYRYPP",2,3,NA,350,350,NA,350,NA,370
"237","RYRYPR",2,3,NA,340,350,380,380,390,380
"238","RYRYYD",2,3,NA,440,NA,450,440,460,440
"239","RYRYYG",1,3,NA,410,NA,NA,360,360,NA
"240","RYRYYP",2,3,NA,470,NA,470,470,480,NA
"241","RYRYYY",2,3,NA,410,NA,NA,NA,NA,400
"242","RYYBBP",1,2,NA,NA,NA,NA,20,20,30
"243","RYYBBR",1,2,NA,NA,NA,NA,60,NA,NA
"244","RYYBDD",2,3,NA,NA,NA,NA,380,NA,370
"245","RYYBDR",1,2,NA,NA,NA,NA,190,200,NA
