"","indID","CL","X1","X2","X3","X4","X5","X6","X7"
"RYYDYD","RYYDYD",1,NA,NA,17086,NA,17313,17375,17451
"RYYDYG","RYYDYG",1,NA,NA,17086,NA,17312,17377,NA
"RYYDYP","RYYDYP",3,NA,NA,17086,17253,NA,NA,NA
"RYYDYY","RYYDYY",3,NA,NA,17086,NA,NA,NA,NA
"RYYGBB","RYYGBB",2,NA,NA,17085,NA,NA,NA,NA
"RYYGDP","RYYGDP",2,NA,NA,17084,NA,NA,17375,17449
"RYYGDY","RYYGDY",2,NA,NA,17084,NA,17310,17375,17449
"RYYGGB","RYYGGB",2,NA,17031,NA,NA,NA,17376,17452
"RYYGPD","RYYGPD",1,NA,NA,17084,NA,17313,17376,17449
"RYYGPG","RYYGPG",3,NA,NA,17084,NA,NA,NA,NA
"RYYGPR","RYYGPR",2,NA,NA,17084,NA,NA,NA,NA
"RYYGPY","RYYGPY",2,NA,NA,17084,NA,17313,17376,17449
"RYYGRB","RYYGRB",3,NA,17031,NA,NA,NA,NA,17452
"RYYGRD","RYYGRD",2,NA,17031,17086,17253,NA,NA,NA
"RYYGRG","RYYGRG",3,NA,17031,17086,NA,NA,17376,NA
"RYYGRP","RYYGRP",1,NA,17031,17086,NA,17313,NA,NA
"RYYGRR","RYYGRR",2,NA,17031,NA,17253,17313,17376,17452
"RYYGRY","RYYGRY",3,NA,17031,17086,17253,NA,17376,17452
"RYYGYR","RYYGYR",3,NA,17031,17086,17253,17313,17376,NA
"RYYPRR","RYYPRR",3,NA,NA,17087,17243,NA,17375,NA
"RYYPYB","RYYPYB",1,NA,NA,NA,17245,NA,17377,17450
"RYYPYY","RYYPYY",1,NA,NA,NA,17245,NA,NA,NA
"RYYRBB","RYYRBB",2,NA,17031,NA,17253,17313,17376,17452
"RYYRBG","RYYRBG",1,NA,17031,NA,NA,NA,NA,NA
"RYYRBR","RYYRBR",1,NA,17031,NA,17253,NA,17376,NA
"RYYRBY","RYYRBY",1,NA,17031,NA,NA,NA,17376,NA
"RYYRDB","RYYRDB",2,NA,17031,17086,17245,17312,17377,NA
"RYYRDG","RYYRDG",1,NA,17030,NA,17244,NA,17375,17449
"RYYRDP","RYYRDP",2,NA,17031,17086,NA,NA,NA,NA
"RYYRGG","RYYRGG",2,NA,17030,NA,NA,NA,NA,NA
"RYYRGP","RYYRGP",1,NA,17030,17085,NA,17311,NA,NA
"RYYRGY","RYYRGY",1,NA,17030,17085,NA,NA,NA,NA
"RYYRPB","RYYRPB",1,NA,17031,NA,NA,NA,NA,NA
"RYYRPD","RYYRPD",1,NA,17031,17086,17245,NA,17377,NA
"RYYRPR","RYYRPR",1,NA,17031,NA,NA,NA,NA,NA
"RYYRPY","RYYRPY",1,NA,17031,17086,NA,NA,17377,17450
"RYYRRD","RYYRRD",1,NA,17030,NA,NA,NA,NA,NA
"RYYRRG","RYYRRG",1,NA,17030,17085,NA,NA,NA,NA
"RYYRRR","RYYRRR",1,NA,17030,NA,17243,NA,17374,17451
"RYYRRY","RYYRRY",2,NA,17030,NA,17243,NA,17374,NA
"RYYRYD","RYYRYD",1,NA,17030,17085,NA,NA,NA,NA
"RYYRYR","RYYRYR",2,NA,17030,17085,17244,NA,17375,NA
"RYYRYY","RYYRYY",2,NA,17030,17085,NA,NA,NA,NA
"RYYYBG","RYYYBG",3,NA,NA,17086,NA,NA,NA,NA
"RYYYBR","RYYYBR",3,NA,NA,17085,NA,17312,NA,NA
"RYYYBY","RYYYBY",2,NA,NA,17086,17245,17312,17377,17450
"RYYYDD","RYYYDD",1,NA,NA,17085,NA,NA,NA,NA
"RYYYDG","RYYYDG",2,NA,NA,17085,NA,NA,17378,NA
"RYYYDP","RYYYDP",3,NA,NA,17085,17254,NA,NA,17450
"RYYYDR","RYYYDR",3,NA,NA,17085,17254,NA,NA,NA
"RYYYDY","RYYYDY",2,NA,NA,17085,17254,NA,NA,NA
"RYYYGB","RYYYGB",2,NA,NA,17085,NA,NA,NA,NA
"RYYYGD","RYYYGD",1,NA,NA,17085,NA,NA,NA,NA
"RYYYGP","RYYYGP",2,NA,NA,17085,NA,NA,17374,NA
"RYYYGR","RYYYGR",3,NA,NA,17085,NA,NA,17374,NA
"RYYYPB","RYYYPB",1,NA,NA,17085,17254,NA,17377,17450
"RYYYPR","RYYYPR",2,NA,NA,17085,NA,NA,17378,17450
"RYYYRB","RYYYRB",1,NA,NA,17085,NA,17311,17374,17451
"RYYYRD","RYYYRD",2,NA,NA,17085,NA,NA,NA,NA
"RYYYRP","RYYYRP",1,NA,NA,17085,NA,NA,NA,NA
"RYYYRY","RYYYRY",2,NA,NA,17085,NA,17311,NA,NA
"RYYYYB","RYYYYB",1,NA,NA,17085,17254,NA,17378,17450
"RYYYYP","RYYYYP",3,NA,NA,17085,17255,NA,NA,NA
