"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"102","0GGY",283,2016,8,18,"control","C1",459,76,5.5,"nd",2016,"nd","nd","nd",590,"3rd"
"103","0GGY",641,2017,5,27,"control","C1",458,103,13,"nd",2016,"nd","nd","nd",580,"3rd"
"104","0GGY",711,2017,7,29,"control","C1",459,103,12,"nd",2016,"nd","nd","nd",590,"3rd"
"105","0GPB",79,2016,5,27,"late","L3",488,62,3.2,"nd",2016,"nd","nd","nd",880,"3rd"
"106","0GPD",77,2016,5,27,"late","L3",488,54,1.8,"nd",2016,"nd","nd","nd",880,"3rd"
"107","0GPG",74,2016,5,27,"late","L3",479,73,4.2,"nd",2016,"nd","nd","nd",790,"2nd"
"108","0GPG",166,2016,8,16,"late","L3",478,72,5,"nd",2016,"nd","nd","nd",780,"2nd"
"109","0GPP",800,2017,10,11,"late","L3",480,176,67.2,"1",2016,"male","nd","male",800,"1st"
"110","0GPP",770,2017,7,31,"late","L3",489,149,37.3,"nd",2016,"nd","nd","nd",890,"1st"
"111","0GPP",78,2016,5,27,"late","L3",488,58,2.3,"nd",2016,"nd","nd","nd",880,"1st"
"112","0GPP",627,2017,5,26,"late","L3",487,145,34.6,"nd",2016,"nd","nd","nd",870,"1st"
"113","0GPR",726,2017,7,30,"control","C2",492,124,24.8,"nd",2016,"nd","nd","nd",920,"2nd"
"114","0GPR",81,2016,5,28,"control","C2",492,75,5.9,"nd",2016,"nd","nd","nd",920,"2nd"
"115","0GPY",76,2016,5,27,"late","L3",485,65,3.6,"nd",2016,"nd","nd","nd",850,"3rd"
"116","0GRB",53,2016,5,27,"control","C1",457,60,2.4,"nd",2016,"nd","nd","nd",570,"3rd"
"117","0GRB",279,2016,8,18,"control","C1",457,71,4.2,"nd",2016,"nd","nd","nd",570,"3rd"
"118","0GRD",50,2016,5,25,"late","L2",447,66,3.7,"nd",2016,"nd","nd","nd",470,"2nd"
"119","0GRG",637,2017,5,27,"late","L2",450,120,19,"nd",2016,"nd","nd","nd",500,"2nd"
"120","0GRG",707,2017,7,29,"late","L2",451,117,16.9,"nd",2016,"nd","nd","nd",510,"2nd"
"121","0GRG",788,2017,10,10,"late","L2",451,119,20.8,"0",2016,"nd","female","female",510,"2nd"
"122","0GRG",48,2016,5,25,"late","L2",447,78,4.3,"nd",2016,"nd","nd","nd",470,"2nd"
"123","0GRP",316,2016,10,10,"late","L2",449,98,11.6,"0",2016,"nd","nd","nd",490,"2nd"
"124","0GRP",476,2017,3,19,"late","L2",450,105,14.9,"nd",2016,"nd","nd","nd",500,"2nd"
"125","0GRP",51,2016,5,25,"late","L2",449,70,4.1,"nd",2016,"nd","nd","nd",490,"2nd"
"126","0GRP",706,2017,7,29,"late","L2",449,131,25,"nd",2016,"nd","nd","nd",490,"2nd"
"127","0GRR",633,2017,5,27,"late","L2",446,134,23.8,"nd",2016,"nd","nd","nd",460,"2nd"
"128","0GRR",47,2016,5,25,"late","L2",444,62,2.5,"nd",2016,"nd","nd","nd",440,"2nd"
"129","0GRR",126,2016,8,15,"late","L2",444,72,4.7,"nd",2016,"nd","nd","nd",440,"2nd"
"130","0GRR",700,2017,7,29,"late","L2",444,136,26.7,"nd",2016,"nd","nd","nd",440,"2nd"
"131","0GRY",49,2016,5,25,"late","L2",447,75,4.9,"nd",2016,"nd","nd","nd",470,"2nd"
"132","0GYB",152,2016,8,16,"late","L3",474,75,5.3,"nd",2016,"nd","nd","nd",740,"3rd"
"133","0GYB",525,2017,3,29,"late","L3",474,90,8.7,"nd",2016,"nd","nd","nd",740,"3rd"
"134","0GYB",67,2016,5,27,"late","L3",474,60,2.6,"nd",2016,"nd","nd","nd",740,"3rd"
"135","0GYB",617,2017,5,26,"late","L3",474,111,15.5,"nd",2016,"nd","nd","nd",740,"3rd"
"136","0GYD",428,2016,10,12,"control","C1",467,86,9.1,"0",2016,"nd","nd","nd",670,"2nd"
"137","0GYD",65,2016,5,27,"control","C1",468,69,3.5,"nd",2016,"nd","nd","nd",680,"2nd"
"138","0GYD",298,2016,8,18,"control","C1",467,81,6.5,"nd",2016,"nd","nd","nd",670,"2nd"
"139","0GYG",654,2017,5,27,"control","C1",469,103,14,"nd",2016,"nd","nd","nd",690,"3rd"
"140","0GYG",875,2017,10,13,"control","C1",469,113,17.8,"0",2016,"nd","nd","nd",690,"3rd"
"141","0GYG",522,2017,3,28,"control","C1",468,85,7.8,"nd",2016,"nd","nd","nd",680,"3rd"
"142","0GYG",63,2016,5,27,"control","C1",468,63,3.5,"nd",2016,"nd","nd","nd",680,"3rd"
"143","0GYG",725,2017,7,29,"control","C1",469,108,15.9,"nd",2016,"nd","nd","nd",690,"3rd"
"144","0GYP",66,2016,5,27,"late","L3",473,78,5.8,"nd",2016,"nd","nd","nd",730,"1st"
"145","0GYR",870,2017,10,13,"control","C1",466,107,15.6,"0",2016,"nd","nd","nd",660,"3rd"
"146","0GYR",519,2017,3,28,"control","C1",466,76,5.5,"nd",2016,"nd","nd","nd",660,"3rd"
"147","0GYR",719,2017,7,29,"control","C1",466,106,15.3,"nd",2016,"nd","nd","nd",660,"3rd"
"148","0GYR",61,2016,5,27,"control","C1",465,59,2.8,"nd",2016,"nd","nd","nd",650,"3rd"
"149","0GYY",64,2016,5,27,"control","C1",468,61,2.8,"nd",2016,"nd","nd","nd",680,"3rd"
"150","0GYY",873,2017,10,13,"control","C1",468,113,17.1,"0",2016,"nd","nd","nd",680,"3rd"
"151","0GYY",724,2017,7,29,"control","C1",469,111,17.1,"nd",2016,"nd","nd","nd",690,"3rd"
"152","0GYY",652,2017,5,27,"control","C1",468,103,15.3,"nd",2016,"nd","nd","nd",680,"3rd"
"153","0RBB",638,2017,5,27,"control","C1",456,119,19.4,"nd",2016,"nd","nd","nd",560,"3rd"
"154","0RBB",509,2017,3,28,"control","C1",457,84,6.6,"nd",2016,"nd","nd","nd",570,"3rd"
"155","0RBB",54,2016,5,27,"control","C1",457,62,2.8,"nd",2016,"nd","nd","nd",570,"3rd"
"156","0RBD",46,2016,5,25,"late","L2",443,73,5.1,"nd",2016,"nd","nd","nd",430,"2nd"
"157","0RBG",44,2016,5,25,"late","L1",439,56,2,"nd",2016,"nd","nd","nd",390,"3rd"
"158","0RBP",52,2016,5,27,"control","C1",456,72,4.2,"nd",2016,"nd","nd","nd",560,"2nd"
"159","0RBY",45,2016,5,25,"late","L1",439,73,4.2,"nd",2016,"nd","nd","nd",390,"2nd"
"160","0RDB",35,2016,5,25,"late","L1",431,61,3.3,"nd",2016,"nd","nd","nd",310,"2nd"
"161","0RDB",133,2016,8,16,"late","L1",431,80,6.4,"nd",2016,"nd","nd","nd",310,"2nd"
"162","0RDB",302,2016,10,10,"late","L1",431,96,12.3,"0",2016,"nd","nd","nd",310,"2nd"
"163","0RDD",33,2016,5,24,"early ","E2",423,60,2.8,"nd",2016,"nd","nd","nd",230,"3rd"
"164","0RDG",543,2017,5,24,"early ","E2",418,113,20.3,"nd",2016,"nd","nd","nd",180,"2nd"
"165","0RDG",31,2016,5,24,"early ","E2",423,67,3.4,"nd",2016,"nd","nd","nd",230,"2nd"
"166","0RDG",446,2016,10,13,"early ","E2",424,94,9.5,"0",2016,"nd","nd","nd",240,"2nd"
"167","0RDG",463,2017,3,18,"early ","E2",424,101,12.5,"nd",2016,"nd","nd","nd",240,"2nd"
"168","0RDP",693,2017,7,28,"late","L1",436,101,10.5,"nd",2016,"nd","nd","nd",360,"3rd"
