id,year,month,day,section,landmark,treatment,fork_length,distance,cluster
0YDB,2016,8,17,E3,530,early,82,1300,1st
0YDB,2017,7,30,E3,522,early,162,1220,1st
0YDB,2017,5,25,E3,523,early,143,1230,1st
0YDB,2016,5,29,E3,530,early,60,1300,1st
0YDB,2017,10,13,E3,525,early,168,1250,1st
0YDD,2016,5,28,C3,509,control,95,1090,1st
0YDG,2016,10,12,C3,508,control,114,1080,1st
0YDG,2016,5,28,C3,508,control,79,1080,1st
0YDP,2016,8,17,E3,528,early,77,1280,2nd
0YDP,2016,5,29,E3,527,early,68,1270,2nd
0YDR,2016,10,12,C3,507,control,101,1070,1st
0YDR,2017,10,11,C3,507,control,163,1070,1st
0YDR,2016,5,28,C3,507,control,83,1070,1st
0YDY,2016,5,28,C3,508,control,70,1080,2nd
0YDY,2016,10,12,C3,508,control,95,1080,2nd
0YGB,2016,5,28,C3,502,control,78,1020,1st
0YGD,2016,5,28,C2,500,control,75,1000,2nd
0YGG,2016,10,12,C2,500,control,81,1000,2nd
0YGG,2016,5,28,C2,499,control,74,990,2nd
0YGG,2017,10,11,C2,500,control,110,1000,2nd
0YGP,2017,7,30,C3,504,control,133,1040,2nd
0YGP,2017,3,20,C3,505,control,111,1050,2nd
0YGP,2016,10,12,C3,503,control,97,1030,2nd
0YGP,2016,5,28,C3,502,control,70,1020,2nd
0YGP,2017,10,11,C3,504,control,133,1040,2nd
0YGR,2016,5,28,C2,499,control,79,990,1st
0YGY,2016,5,28,C2,500,control,73,1000,2nd
0YPB,2016,8,18,C2,500,control,73,1000,3rd
0YPB,2017,3,20,C2,500,control,77,1000,3rd
0YPB,2017,5,26,C2,500,control,95,1000,3rd
0YPD,2017,3,18,E1,408,early,76,80,3rd
0YPD,2016,10,11,E1,404,early,74,40,3rd
0YPD,2017,10,12,E1,403,early,121,30,3rd
0YPD,2017,7,27,E1,402,early,118,20,3rd
0YPD,2016,8,17,E1,404,early,68,40,3rd
0YPG,2016,8,17,E2,419,early,64,190,3rd
0YPP,2016,10,11,E1,409,early,86,90,2nd
0YPP,2016,8,17,E1,407,early,71,70,2nd
0YPR,2017,10,11,L3,488,late,126,880,3rd
0YPR,2016,8,16,L3,488,late,65,880,3rd
0YPY,2016,8,17,E2,420,early,68,200,2nd
0YPY,2017,5,24,E2,420,early,112,200,2nd
0YPY,2017,7,28,E2,419,early,147,190,2nd
0YPY,2017,3,18,E2,420,early,83,200,2nd
0YRB,2017,10,11,C2,500,control,142,1000,1st
0YRB,2016,5,28,C2,499,control,77,990,1st
0YRB,2016,10,12,C2,500,control,88,1000,1st
0YRB,2017,7,30,C2,500,control,143,1000,1st
0YRB,2017,5,26,C2,501,control,137,1010,1st
0YRD,2016,5,28,C2,498,control,69,980,2nd
0YRD,2016,10,12,C2,499,control,84,990,2nd
0YRD,2016,8,18,C2,499,control,77,990,2nd
0YRG,2017,3,20,C2,497,control,91,970,2nd
0YRG,2016,10,12,C2,497,control,85,970,2nd
0YRG,2017,5,26,C2,497,control,109,970,2nd
0YRG,2017,7,30,C2,497.5,control,113,975,2nd
0YRG,2017,10,11,C2,497,control,114,970,2nd
0YRG,2016,5,28,C2,497,control,78,970,2nd
0YRP,2016,5,28,C2,498,control,81,980,1st
0YRR,2016,5,28,C2,496,control,75,960,1st
0YRR,2017,3,20,C2,497,control,110,970,1st
0YRR,2017,10,11,C2,496,control,145,960,1st
0YRR,2017,5,26,C2,496,control,132,960,1st
0YRR,2016,10,12,C2,496,control,94,960,1st
0YRY,2017,7,30,C2,499,control,149,990,1st
0YRY,2016,8,18,C2,498,control,88,980,1st
0YRY,2016,10,12,C2,498,control,95,980,1st
0YRY,2016,5,28,C2,498,control,81,980,1st
0YRY,2017,5,26,C2,499,control,153,990,1st
0YRY,2017,3,20,C2,499,control,117,990,1st
0YYB,2016,10,12,C3,507,control,90,1070,2nd
0YYB,2016,5,28,C3,507,control,75,1070,2nd
0YYB,2017,3,20,C3,507,control,111,1070,2nd
0YYB,2016,8,18,C3,507,control,83,1070,2nd
0YYD,2017,5,26,C3,506,control,160,1060,1st
0YYD,2016,8,18,C3,504,control,98,1040,1st
0YYD,2017,3,20,C3,506,control,139,1060,1st
0YYD,2017,10,11,C3,504,control,182,1040,1st
0YYD,2016,5,28,C3,504,control,85,1040,1st
0YYG,2016,8,18,C3,503,control,81,1030,2nd
0YYG,2016,5,28,C3,503,control,71,1030,2nd
0YYG,2017,3,20,C3,502,control,118,1020,2nd
0YYP,2016,5,28,C3,505,control,71,1050,2nd
0YYP,2017,7,30,C3,504,control,134,1040,2nd
0YYR,2016,5,28,C3,502,control,64,1020,3rd
0YYR,2017,3,20,C3,505,control,83,1050,3rd
0YYY,2016,5,28,C3,504,control,68,1040,2nd
BBBB,2016,8,18,C3,503,control,124,1030,1st
BBBB,2016,5,28,C3,503,control,88,1030,1st
BPBB,2016,10,12,C2,500,control,103,1000,1st
BPBB,2017,5,26,C2,500,control,142,1000,1st
BPBB,2016,5,28,C2,500,control,88,1000,1st
BPBB,2016,8,18,C2,500,control,94,1000,1st
BPBP,2016,5,28,C2,500,control,94,1000,1st
BPBP,2016,8,18,C2,500,control,99,1000,1st
BPPPBB,2016,10,11,E2,414,early,146,140,1st
BPPPBB,2017,7,27,E1,409,early,165,90,1st
BPPPBB,2017,10,12,E1,409,early,166,90,1st
BPPPBB,2017,5,25,E1,409,early,159,90,1st
BPPPPB,2017,7,28,E2,410,early,128,100,2nd
BPPPPB,2017,3,19,E2,412,early,87,120,2nd
BPPPPB,2016,10,11,E2,412,early,83,120,2nd
BPPPPP,2016,10,11,E2,412,early,98,120,1st
PBBB,2016,8,18,C2,494,control,83,940,2nd
PBBB,2017,10,11,C2,494,control,133,940,2nd
PBBB,2016,5,28,C2,494,control,82,940,2nd
PBBB,2016,10,12,C2,494,control,86,940,2nd
PBBB,2017,5,26,C2,493,control,120,930,2nd
PBBP,2017,10,11,C2,494,control,139,940,1st
PBBP,2017,7,30,C2,494,control,138,940,1st
PBBP,2016,5,28,C2,493,control,89,930,1st
PBBP,2017,5,26,C2,494,control,139,940,1st
PBPB,2016,8,18,C2,492,control,94,920,1st
PBPB,2017,5,27,C1,468,control,120,680,1st
PBPB,2016,5,28,C2,492,control,90,920,1st
PBPB,2017,10,13,C1,468,control,133,680,1st
PBPB,2016,10,12,C2,494,control,96,940,1st
PBPB,2017,7,29,C1,468,control,124,680,1st
PBPP,2016,8,16,L3,489,late,101,890,1st
PBPP,2016,5,27,L3,489,late,84,890,1st
PBPP,2017,7,31,L3,481,late,153,810,1st
PBPP,2016,10,11,L3,489,late,112,890,1st
PBPP,2017,3,29,L3,489,late,125,890,1st
PBPPBB,2016,8,17,E3,522,early,110,1220,1st
PBPPBB,2016,5,29,E3,523,early,91,1230,1st
PBPPBB,2016,10,10,E3,523,early,116,1230,1st
PBPPPB,2016,8,17,E3,525,early,101,1250,1st
PBPPPB,2016,5,29,E3,521,early,87,1210,1st
PBPPPB,2017,5,25,E3,525,early,146,1250,1st
PBPPPB,2016,10,10,E3,525,early,102,1250,1st
PBPPPB,2017,7,30,E3,525,early,170,1250,1st
PPBPBP,2016,5,28,C3,508,control,89,1080,1st
PPBPBP,2016,8,18,C3,508,control,100,1080,1st
PPPB,2016,5,27,L3,482,late,85,820,1st
PPPB,2017,10,11,L3,485,late,172,850,1st
PPPB,2016,8,16,L3,482,late,101,820,1st
PPPPPB,2016,5,28,C3,504,control,98,1040,1st
PPPPPP,2017,5,26,C2,493,control,122,930,2nd
PPPPPP,2016,5,28,C3,503,control,83,1030,2nd
PPPPPP,2017,3,20,C2,492,control,104,920,2nd
RGDDDD,2017,5,24,L1,433,late,135,330,1st
RGDDDD,2016,5,25,L1,433,late,87,330,1st
RGDDDD,2017,7,28,L1,433,late,137,330,1st
