"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"BBBB","BBBB",1,1,16949,17031,NA,NA,NA,NA,NA
"BBPB","BBPB",1,1,16949,17031,17086,17245,17312,17377,NA
"BPBB","BPBB",1,1,16949,17031,17086,NA,17312,NA,NA
"BPBP","BPBP",1,1,16949,17031,NA,NA,NA,NA,NA
"BPPB","BPPB",1,1,16949,NA,NA,NA,NA,NA,NA
"BPPP","BPPP",1,1,16949,NA,NA,NA,NA,NA,17450
"BPPPBB","BPPPBB",1,2,NA,NA,17085,NA,17311,17374,17451
"BPPPBP","BPPPBP",2,2,NA,NA,17085,NA,NA,17375,17449
"BPPPPB","BPPPPB",2,2,NA,NA,17085,17244,NA,17375,NA
"BPPPPP","BPPPPP",1,2,NA,NA,17085,NA,NA,NA,NA
"PBBB","PBBB",2,1,16949,17031,17086,NA,17312,NA,17450
"PBBP","PBBP",1,1,16949,NA,NA,NA,17312,17377,17450
"PBPB","PBPB",1,1,16949,17031,17086,NA,17313,17376,17452
"PBPP","PBPP",1,3,16948,17029,17085,17254,NA,17378,NA
"PBPPPB","PBPPPB",1,2,16950,17030,17084,NA,17311,17377,NA
"PPBPBP","PPBPBP",1,1,16949,17031,NA,NA,NA,NA,NA
"PPPPPB","PPPPPB",1,1,16949,NA,NA,NA,NA,NA,NA
"PPPPPP","PPPPPP",2,1,16949,NA,NA,17245,17312,NA,NA
"RGDDDD","RGDDDD",1,3,16946,NA,NA,NA,17310,17375,NA
"RGDDDG","RGDDDG",1,2,16945,17030,17087,NA,NA,NA,17449
"RGDDDY","RGDDDY",1,3,16946,17029,NA,NA,NA,NA,NA
"RGDDGD","RGDDGD",1,2,16945,17030,NA,NA,NA,NA,NA
"RGDDGY","RGDDGY",1,2,16945,NA,17087,NA,NA,17374,17451
"RGDDRG","RGDDRG",1,2,16945,17030,NA,NA,17311,NA,NA
"RGDDYD","RGDDYD",1,2,16945,NA,NA,NA,NA,NA,NA
"RGDGDD","RGDGDD",1,2,16945,17030,17085,17243,17311,17374,17451
"RGDYDY","RGDYDY",1,2,16945,NA,NA,NA,NA,NA,NA
"RGDYGD","RGDYGD",1,2,16945,17030,NA,NA,NA,NA,NA
"RGDYRD","RGDYRD",1,2,16945,17030,17085,NA,NA,NA,NA
"RGDYRG","RGDYRG",2,2,16945,17030,NA,NA,NA,NA,NA
"RGDYRY","RGDYRY",1,2,16945,17030,17085,17243,NA,17374,17451
"RGDYYR","RGDYYR",1,2,16945,17030,17085,NA,NA,NA,NA
"RRY","RRY",2,2,16945,NA,NA,NA,NA,NA,NA
"RYDRGG","RYDRGG",3,3,NA,NA,NA,NA,17312,NA,NA
"RYDRGY","RYDRGY",2,3,NA,NA,NA,NA,17313,NA,NA
"RYDRRB","RYDRRB",1,3,NA,NA,NA,NA,17312,NA,NA
"RYDRRD","RYDRRD",1,1,NA,NA,NA,NA,17312,NA,NA
"RYDRRG","RYDRRG",2,1,NA,NA,NA,NA,17312,NA,NA
"RYDRRR","RYDRRR",1,2,NA,NA,NA,NA,17311,17374,17451
"RYDRYD","RYDRYD",2,1,NA,NA,NA,NA,17313,NA,NA
"RYDRYP","RYDRYP",1,1,NA,NA,NA,NA,17313,NA,17452
"RYDRYY","RYDRYY",2,1,NA,NA,NA,NA,17313,17376,17452
"RYDYGB","RYDYGB",3,2,NA,NA,NA,NA,NA,17377,17452
"RYDYPG","RYDYPG",2,3,NA,NA,NA,NA,NA,17378,17450
"RYDYYG","RYDYYG",3,2,NA,NA,NA,NA,NA,17377,17452
"RYDYYR","RYDYYR",2,2,NA,NA,NA,NA,NA,17377,17452
"RYRBBB","RYRBBB",1,1,NA,17031,NA,17245,NA,17377,NA
"RYRBBD","RYRBBD",2,1,NA,17031,17086,NA,17312,NA,NA
"RYRBBG","RYRBBG",2,1,NA,17031,NA,NA,NA,NA,NA
"RYRBBP","RYRBBP",2,1,NA,17031,NA,17245,17312,17377,NA
"RYRBBR","RYRBBR",2,1,NA,17031,17086,17245,NA,NA,17450
"RYRBBY","RYRBBY",2,1,NA,17031,17086,17245,NA,NA,17450
"RYRBDB","RYRBDB",2,1,NA,17031,NA,NA,17312,NA,17450
"RYRBDG","RYRBDG",2,1,NA,17031,NA,NA,17312,NA,NA
"RYRBDP","RYRBDP",2,1,NA,17031,NA,NA,17312,17377,NA
"RYRBDR","RYRBDR",1,1,NA,17031,NA,NA,NA,NA,NA
"RYRBDY","RYRBDY",1,1,NA,17031,NA,17245,17312,NA,17450
"RYRBGB","RYRBGB",2,2,NA,17030,NA,NA,NA,NA,NA
"RYRBGD","RYRBGD",1,2,NA,17030,17085,NA,17311,17374,17451
"RYRBGP","RYRBGP",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRBGR","RYRBGR",3,2,NA,17030,17085,17243,17310,NA,NA
"RYRBGY","RYRBGY",2,2,NA,17030,NA,NA,NA,NA,NA
"RYRBPB","RYRBPB",1,1,NA,17031,NA,NA,NA,NA,NA
"RYRBPD","RYRBPD",2,1,NA,17031,NA,17245,NA,17377,17450
"RYRBPG","RYRBPG",2,1,NA,17031,17086,17245,17312,17377,NA
"RYRBPR","RYRBPR",1,1,NA,17031,17086,NA,17312,NA,NA
"RYRBRD","RYRBRD",1,2,NA,17030,NA,17243,NA,17375,17451
"RYRBRR","RYRBRR",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRBYD","RYRBYD",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRBYP","RYRBYP",2,1,NA,17031,NA,NA,NA,NA,NA
"RYRBYR","RYRBYR",2,2,NA,17030,NA,NA,17311,17374,17451
"RYRBYY","RYRBYY",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRDDD","RYRDDD",3,3,NA,17029,17085,NA,NA,NA,NA
"RYRDGB","RYRDGB",2,3,NA,17029,17085,17254,NA,NA,NA
"RYRDGD","RYRDGD",3,3,NA,17029,NA,NA,NA,NA,NA
"RYRDGP","RYRDGP",1,3,NA,17029,17085,NA,17312,17378,17450
"RYRDGY","RYRDGY",2,3,NA,17029,NA,NA,NA,NA,NA
