"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"loglik[212,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[213,6]",-0.0659029326666667,0.211756666266377,-0.769174575,0,0,1.01,717
"loglik[214,6]",-0.0339072886666667,0.155976386794116,-0.7395927,0,0,1,914
"loglik[215,6]",-0.0716432,0.219455884812243,-0.76909195,0,0,1.02,726
"loglik[216,6]",-0.037496254,0.162658449218995,-0.739171875,0,0,1,1053
"loglik[217,6]",-0.07697434,0.226413702251711,-0.770049375,0,0,1,869
"loglik[218,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[219,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[220,6]",-0.402650372,0.372990030899394,-0.81872215,-0.6855245,0,1,1218
"loglik[221,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[222,6]",-0.124565113333333,0.278457669336009,-0.78510665,0,0,1,983
"loglik[223,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[224,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[225,6]",-0.0478394473333333,0.182322577279898,-0.75071285,0,0,1.08,747
"loglik[226,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[227,6]",-0.064596662,0.210197548932158,-0.771452825,0,0,1.01,876
"loglik[228,6]",-0.0714358246666667,0.218851536747198,-0.7654531,0,0,1,756
"loglik[229,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[230,6]",-0.604342508,0.297668736561676,-0.8291587,-0.7352,0,1,1500
"loglik[231,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[232,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[233,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[234,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[235,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
